helm1	raw	helm2
475.804	1232.47	300.801
477.912	1235.13	301.14
478.312	1235.14	301.324
479.209	1238.44	301.467
480.277	1242.92	301.49
481.656	1252.99	301.805
481.815	1254.3	303.034
481.938	1255.18	303.164
483.56	1257.53	303.796
484.221	1258.25	304.524
484.604	1259.11	305.225
484.979	1265.73	305.432
485.02	1266.58	305.626
485.311	1267.31	305.767
485.511	1268.81	305.826
485.767	1269.91	305.972
485.905	1271.54	306.488
486.81	1273.94	307.084
487.314	1279.6	307.101
487.647	1283.98	308.04
488.491	1285.93	308.646
489.315	1290.17	308.768
489.462	1293.84	309.542
489.528	1295.96	309.748
490.699	1296.66	310.721
492.02	1297.35	310.759
492.333	1308.12	310.98
493.886	1315.53	311.504
494.138	1316.92	312.084
495.619	1326.03	312.52
496.417	1329.1	312.553
496.442	1333.66	312.954
498.076	1334.88	313.202
499.52	1339.96	314.04
502.009	1340.1	315.587
502.161	1342.96	316.325
502.824	1344.97	316.326
502.844	1347.53	317.198
503.79	1348.64	318.093
504.468	1349.15	318.208
505.044	1349.56	318.212
506.371	1349.88	318.259
508.074	1353.94	318.853
508.807	1356.82	318.858
508.833	1370.04	318.976
510.922	1383.54	320.267
512.867	1386.21	320.879
514.5	1387.51	321.487
515.283	1388.16	321.505
515.309	1388.43	322.067
517.365	1392.27	322.291
517.415	1394.1	322.715
518.247	1397.16	322.748
518.678	1397.6	323.168
519.379	1398.71	323.194
522.495	1404.21	323.792
523.414	1412.42	325.256
524.092	1412.47	325.593
524.656	1423.93	326.354
524.663	1424.77	327.05
525.859	1428.61	327.15
526.193	1433.77	327.741
526.94	1440.25	327.836
529.202	1441.05	328.15
530.076	1443.96	328.691
530.451	1447.38	328.924
531.563	1449.78	329.491
531.676	1450.85	329.87
532.931	1454.81	330.311
533.151	1455.91	330.811
535.034	1455.93	331.095
535.258	1457.48	332.684
535.348	1462.81	333.666
537.582	1463.29	333.94
538.796	1465.76	334.664
539.545	1470.83	335.273
