max, 2.404, 2.404, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cCH
sum, 1.7905, 0.9975, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 1.3843, 0.7081, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 2.6956, 2.6956, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 3.214, 3.214, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
max, 3.7912, 3.7912, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 1.276, 0.8046, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
max, 2.926, 2.926, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 3.5746, 0.2813, t, t, xx, xx, xx, t, t, xx, t, xx, xx, xx, xx, xx, t, cCH
sum, 1.4239, 0.3331, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 1.111, 0.6695, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 3.7963, 3.7963, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
max, 1.9546, 1.9546, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.0555, 1.0555, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cCH
sum, 2.6776, 2.6776, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 1.1173, 0.2814, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
max, 2.8129, 2.8129, t, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, cCH
max, 3.3022, 3.3022, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, CCH
sum, 1.8328, 1.8328, t, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, cCH
sum, 2.4052, 2.4052, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 3.3838, 0.0048, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 1.789, 0.7928, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 1.6186, 0.4351, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 1.7545, 0.7082, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
max, 3.1342, 0.0038, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 1.4569, 1.4569, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 2.4484, 2.4484, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.624, 0.1179, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 2.254, 2.254, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.2965, 3.2965, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 1.111, 0.1367, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
