---------------------------------------------
Summary of N-way cross validation experiments
---------------------------------------------
	Data file: 10000 cases * 17 attributes

	Parameter: granularity = 5
	           promising = 0
	           nChanges = 2
	           skew = 20 (means: bestClass= 5.00%)


worthOnData=2.591129 worthOnTest=2.574859 ['from(design)/to(design)'=[41.919998..52.450001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.591592 worthOnTest=2.582748 ['from(requirements)/to(deployment)'=[0.220000..0.380000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592041 worthOnTest=2.588643 ['from(programming)/to(integration)'=[25.910000..32.619999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592700 worthOnTest=2.611729 ['from(programming)/to(programming)'=[119.540001..148.539993)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594104 worthOnTest=2.594509 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594212 worthOnTest=2.593007 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594707 worthOnTest=2.601638 ['from(design)/to(integration)'=[3.110000..4.000000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594866 worthOnTest=2.587174 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595514 worthOnTest=2.611627 ['from(requirements)/to(design)'=[3.160000..4.050000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596312 worthOnTest=2.611779 ['from(design)/to(programming)'=[7.140000..9.100000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598117 worthOnTest=2.577200 ['from(programming)/to(programming)'=[148.539993..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598763 worthOnTest=2.596445 ['from(requirements)/to(programming)'=[2.500000..3.220000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.600568 worthOnTest=2.588945 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.609926 worthOnTest=2.603397 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 8: Treatments=14 -----
worthOnData=2.522288 worthOnTest=2.606999 ['from(design)/to(design)'=[52.400002..77.930000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.591558 worthOnTest=2.576203 ['from(design)/to(design)'=[41.889999..52.400002)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592269 worthOnTest=2.585806 ['from(programming)/to(integration)'=[25.990000..32.700001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592867 worthOnTest=2.606653 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593934 worthOnTest=2.596102 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594797 worthOnTest=2.597100 ['from(design)/to(integration)'=[3.130000..4.020000)] [reworkSaved=[0.000000..0.130000)] 
