"PF_ID","PACT_ID","FM_ID","PF_EFFECT","PF_REFERENCE","PF_DESC","PF_NOTE","PF_ERROR","VERSION_ID","LAST_UPDATED","REPLACED_ID","DOCUMENT_REF"
"E1107","P721","F768","0.3","","",,1.00,"V199",,"",
"E1108","P721","F470","0.3","","",,1.00,"V199",,"",
"E1109","P721","F205","0.3","","",,1.00,"V199",,"",
"E1110","P721","F738","0.3","","",,1.00,"V199",,"",
"E1111","P721","F739","0.3","","",,1.00,"V199",,"",
"E1112","P729","F738","0.3","","",,1.00,"V199",,"",
"E1114","P729","F206","0.3","","",,1.00,"V199",,"",
"E1117","P729","F207","0.3","","",,1.00,"V199",,"",
"E1118","P355","F298","0.3","","",,1.00,"V199",,"",
"E1119","P355","F297","0.3","","",,1.00,"V199",,"",
"E1179","P669","F273","1","","",,1.00,"V199",,"",
